cod_ibge;municipio;ARTESANAL;INDUSTRIAL;Pescadores;area_influencia;comunidades_quilombolas;localidades_indigenas;territorio_identidade;populacao_valor;pop_rankBA;populacao;urbanizacao_perc;urbanizacao;quilombolas_valor;quilombolas_perc;quilombolas;indigenas_valor;indigenas_perc;indigenas;analfabetismo_perc;analfabetismo;IDH_2010_valor;IDH_2010_tankBA;IDH_2010;ind.gini_valor;indice_gini;beneficiados_PBF_valor;beneficiados_PBF_perc;beneficiados_PBF;PIB_valor;PIB_escala;PIB_rankBA;PIB;PIB_per_capita_valor;PIB_per_capita_rankBA;PIB_per_capita;VAB_com_serv_2021;VAB_agro_2021;VAB_ind_2021;estoque_emprego_formal_valor;estoque_emprego_formal_rankBA;estoque_emprego_formal;saldo_emp_formal_valor;saldo_emp_formal_rankBA;saldo_emp_formal;estoque_servicos_valor;estoque_servicos_rank;estoque_servicos;estoque_comercio_valor;estoque_comercio_rank;estoque_comercio;estoque_industria_valor;estoque_industria_rank;estoque_industria_2025;estoque_agro_valor;estoque_agro_rank;estoque_agro;estoque_const.civil_valor;estoque_const.civil_rank;estoque_const.civil
2930709;Simões Filho;184;1;185;AID;10;0;Metropolitano de Salvador;120419;15;120.419 (15° na BA);98;98,0% (76,6% na BA);3576;3,1;3.576 (3,1% da pop.);2730;2,4;2.730 (2,4% da pop.);5,6;5,6% (12,6% na BA);0,675;22;0,675 (22° na BA);50;0,5 (0,62% na BA);45214;37,5;45.214 (37,5% da pop.);8500000000;bi;10;8,5 bi (10° na BA);74270,21;14;74.270,21 (14° na BA);55,5;0,2;44,2;51182;7;51.182 (7° na BA);457;32;457 (32° na BA);23124;1;23.124 (1°);9332;3;9.332 (3°);13533;2;13.533 (2°);69;5;69 (5°);5124;4;5.124 (4°)
2932903;Valença;4919;1;4920;AII;22;0;Baixo Sul;90053;20;90.053 (20° na BA);73;73,0% (76,6% na BA);3402;4;3.402 (4,0% da pop.);435;0,5;435 (0,5% da pop.);14,8;14,8% (12,6% na BA);0,623;80;0,623 (80° na BA);54;0,54 (0,62% na BA);33932;37,7;33.932 (37,7% da pop.);2200000000;bi;28;2,2 bi (28° na BA);25619,69;53;25.619,69 (53° na BA);77;12,2;10,7;15670;26;15.670 (26° na BA);557;28;557 (28° na BA);9041;1;9.041 (1°);3835;2;3.835 (2°);1846;3;1.846 (3°);653;4;653 (4°);295;5;295 (5°)
2902302;Aratuípe;749;;749;AID;0;0;Baixo Sul;8993;364;8.993 (364° na BA);63;63,0% (76,6% na BA);12;0,1;12 (0,10% da pop.);17;0,2;17 (0,20% da pop.);18,4;18,40% (12,6% na BA);0,575;278;0,575 (278° na BA);52;0,52 (0,62% na BA);5638;62,7;5.638 (62,70% da pop.);107400000;mi;373;107,4 mi (373° na BA);12374,13;319;12.374,13 (319° na BA);74,4;21,3;4,3;901;344;901 (344° na BA);0;317;0 (317° na BA);734;1;734 (1°);76;2;76 (2°);4;5;4 (5°);53;3;53 (3°);34;4;34 (4°)
2904852;Cabaceiras do Paraguaçu;143;;143;AII;0;0;Recôncavo;17024;207;17.024 (207° na BA);32;32,0% (76,6% na BA);0;0;0 (0% da pop.);176;1,1;176 (1,10% da pop.);20,5;20,50% (12,6% na BA);0,581;246;0,581 (246° na BA);54;0,54 (0,62% na BA);10129;59,5;10.129 (59,50% da pop.);186400000;mi;260;186,4 mi (260° na BA);11234,25;363;11.234,25 (363° na BA);77,3;16,1;6,6;1455;244;1.455 (244° na BA);20;239;20 (239° na BA);1077;1;1.077 (1°);214;2;214 (2°);101;3;101 (3°);43;4;43 (4°);20;5;20 (5°)
2904902;Cachoeira;2370;;2370;AII;27;0;Recôncavo;30498;96;30.498 (96° na BA);68,4;68,4% (76,6% na BA);6972;23,8;6.972 (23,80% da pop.);242;0,8;242 (0,80% da pop.);13,2;13,20% (12,6% na BA);0,647;43;0,647 (43° na BA);56;0,56 (0,62% na BA);15081;49,4;15.081 (49,40% da pop.);521400000;mi;104;521,4 mi (104° na BA);17826,19;134;17.826,19 (134° na BA);70,8;8,3;20,8;4765;76;4.765 (76° na BA);-52;239;-52 (239° na BA);3040;1;3.040 (1°);596;3;596 (3°);695;2;695 (2°);368;4;368 (4°);66;5;66 (5°)
2905800;Camamu;1343;;1343;AII;29;1;Baixo Sul;31694;93;31.694 (93° na BA);53,2;53,2% (76,6% na BA);6596;21,5;6.596 (21,50% da pop.);402;1,3;402 (1,30% da pop.);20,1;20,10% (12,6% na BA);0,565;317;0,565 (317° na BA);54;0,54 (0,62% na BA);16484;52;16.484 (52,00% da pop.);557700000;mi;98;557,7 mi (98° na BA);18302,59;123;18.302,59 (123° na BA);71,2;23,6;5,2;5998;63;5.998 (63° na BA);25;220;25 (220° na BA);4721;1;4.721 (1°);832;2;832 (2°);205;3;205 (3°);146;4;146 (4°);94;5;94 (5°)
2907301;Castro Alves;21;;21;AID;0;0;Recôncavo;25470;124;25.470 (124° na BA);63,9;63,9% (76,6% na BA);75;0,3;75 (0,30% da pop.);18;0,1;18 (0,10% da pop.);17,5;17,50% (12,6% na BA);0,613;110;0,613 (110° na BA);54;0,54 (0,62% na BA);11396;44,7;11.396 (44,70% da pop.);431900000;mi;123;431,9 mi (123° na BA);17478,88;143;17.478,88 (143° na BA);75,4;7,7;16,8;5192;70;5.192 (70° na BA);143;91;143 (91° na BA);3148;1;3.148 (1°);462;3;462 (3°);1245;2;1.245 (2°);305;4;305 (4°);32;5;32 (5°)
2908309;Conceição do Almeida;0;0;0;AID;0;0;Recôncavo;16134;220;16.134 (220° na BA);47,3;47,3% (76,6% na BA);0;0;0 (0% da pop.);9;0,1;9 (0,10% da pop.);14,9;14,90% (12,6% na BA);0,606;131;0,606 (131° na BA);56;0,56 (0,62% na BA);6305;39,1;6.305 (39,10% da pop.);236500000;mi;218;236,5 mi (218° na BA);14974,46;219;14.974,46 (219° na BA);75,2;11,8;13;2706;148;2.706 (148° na BA);-131;400;-131 (400° na BA);1425;1;1.425 (1°);303;3;303 (3°);873;2;873 (2°);102;4;102 (4°);3;5;3 (5°)
2910206;Dom Macedo Costa;2;;2;AID;0;0;Recôncavo;4608;408;4.608 (408° na BA);50,5;50,5% (76,6% na BA);0;0;0 (0% da pop.);201;4,6;201 (4,60% da pop.);15,2;15,20% (12,6% na BA);0,632;62;0,632 (62° na BA);55;0,55 (0,62% na BA);1963;42,6;1.963 (42,60% da pop.);60800000;mi;415;60,8 mi (415° na BA);13805,38;257;13.805,38 (257° na BA);76,5;16,6;6,8;685;383;685 (383° na BA);30;206;30 (206° na BA);540;1;540 (1°);42;4;42 (4°);44;3;44 (3°);10;5;10 (5°);49;2;49 (2°)
2911204;Gandu;11;;11;AII;1;0;Baixo Sul;34051;87;34.051 (87° na BA);83,6;83,6% (76,6% na BA);276;0,9;276 (0,90% da pop.);31;0,1;31 (0,10% da pop.);14,5;14,50% (12,6% na BA);0,632;62;0,632 (62° na BA);59;0,59 (0,62% na BA);12073;35,5;12.073 (35,50% da pop.);598600000;mi;88;598,6 mi (88° na BA);18604,11;121;18.604,11 (121° na BA);77,3;16,9;5,8;4656;79;4.656 (79° na BA);225;57;225 (57° na BA);2653;1;2.653 (1°);1407;2;1.407 (2°);246;4;246 (4°);278;3;278 (3°);72;5;72 (5°)
2911600;Governador Mangabeira;14;;14;AII;1;0;Recôncavo;21353;153;21.353 (153° na BA);45,6;45,6% (76,6% na BA);94;0,5;94 (0,50% da pop.);379;1,8;379 (1,80% da pop.);15,2;15,20% (12,6% na BA);0,643;46;0,643 (46° na BA);54;0,54 (0,62% na BA);7979;37,4;7.979 (37,40% da pop.);284800000;mi;185;284,8 mi (185° na BA);13824,18;255;13.824,18 (255° na BA);82,5;10,8;6,7;3084;130;3.084 (130° na BA);71;136;71 (136° na BA);1447;1;1.447 (1°);375;3;375 (3°);125;4;125 (4°);1105;2;1.105 (2°);32;5;32 (5°)
2912707;Ibirapitanga;3;;3;AII;0;0;Baixo Sul;26917;115;26.917 (115° na BA);55,2;55,2% (76,6% na BA);39;0,2;39 (0,20% da pop.);172;0,7;172 (0,70% da pop.);21;21% (12,6% na BA);0,558;344;0,558 (344° na BA);52;0,52 (0,62% na BA);9567;35,5;9.567 (35,50% da pop.);385400000;mi;138;385,4 mi (138° na BA);15204,83;211;15.204,83 (211° na BA);57;37,9;5,1;1453;245;1.453 (245° na BA);142;92;142 (92° na BA);977;1;977 (1°);206;2;206 (2°);17;5;17 (5°);197;3;197 (3°);56;4;56 (4°)
2913457;Igrapiúna;867;;867;AII;8;0;Baixo Sul;13501;281;13.501 (281° na BA);34,1;34,1% (76,6% na BA);867;6,6;867 (6,60% da pop.);39;0,3;39 (0,30% da pop.);19,4;19,40% (12,6% na BA);0,574;286;0,574 (286° na BA);54;0,54 (0,62% na BA);6118;45,3;6.118 (45,30% da pop.);248000000;mi;211;248 mi (211° na BA);18859,01;116;18.859,01 (116° na BA);47,1;35,4;17,5;1592;230;1.592 (230° na BA);50;163;50 (163° na BA);847;1;847 (1°);86;4;86 (4°);118;3;118 (3°);534;2;534 (2°);7;5;7 (5°)
2916104;Itaparica;3745;;3745;ADA;3;0;Metropolitano de Salvador;20353;168;20.353 (168° na BA);100;100,0% (76,6% na BA);240;1,2;240 (1,20% da pop.);626;3,2;626 (3,20% da pop.);7,5;7,50% (12,6% na BA);0,67;26;0,67 (26° na BA);63;0,63 (0,62% na BA);10495;51,6;10.495 (51,60% da pop.);298000000;mi;176;298 mi (176° na BA);15084,83;215;15.084,83 (215° na BA);88,9;3,5;7,6;2925;139;2.925 (139° na BA);148;84;148 (84° na BA);2274;1;2.274 (1°);463;2;463 (2°);18;4;18 (4°);4;5;4 (5°);166;3;166 (3°)
2917300;Ituberá;1439;;1439;AII;11;0;Baixo Sul;22154;143;22.154 (143° na BA);73,9;73,9% (76,6% na BA);1693;7,7;1.693 (7,70% da pop.);58;0,3;58 (0,30% da pop.);16,5;16,50% (12,6% na BA);0,606;131;0,606 (131° na BA);51;0,51 (0,62% na BA);12198;55,1;12.198 (55,10% da pop.);420900000;mi;130;420,9 mi (130° na BA);19216,18;107;19.216,18 (107° na BA);70,8;20,4;8,7;3141;139;3.141 (139° na BA);-1;322;-1 (322° na BA);1816;1;1.816 (1°);777;2;777 (2°);319;3;319 (3°);206;4;206 (4°);23;5;23 (5°)
2917805;Jaguaripe;2137;;2137;AID;0;0;Baixo Sul;18349;187;18.349 (187° na BA);40,8;40,8% (76,6% na BA);45;0,3;45 (0,30% da pop.);15;0,1;15 (0,10% da pop.);19,2;19,20% (12,6% na BA);0,556;351;0,556 (351° na BA);55;0,55 (0,62% na BA);10595;57,7;10.595 (57,70% da pop.);261100000;mi;203;261,1 mi (203° na BA);14786,83;226;14.786,83 (226° na BA);62,2;33,5;4,3;1304;265;1.304 (265° na BA);-17;360;-17 (360° na BA);1016;1;1.016 (1°);102;3;102 (3°);39;4;39 (4°);142;2;142 (2°);5;5;5 (5°)
2918803;Laje;3;;3;AII;1;0;Vale do Jiquiriçá;21705;150;21.705 (150° na BA);35;35,0% (76,6% na BA);80;0,4;80 (0,40% da pop.);35;0,2;35 (0,20% da pop.);20,9;20,90% (12,6% na BA);0,586;220;0,586 (220° na BA);51;0,51 (0,62% na BA);11314;52,1;11.314 (52,10% da pop.);344500000;mi;152;344,5 mi (152° na BA);16366,21;180;16.366,21 (180° na BA);70,2;25,4;4,4;2099;180;2.099 (180° na BA);30;206;30 (206° na BA);1607;1;1.607 (1°);295;2;295 (2°);88;3;88 (3°);73;4;73 (4°);36;5;36 (5°)
2919926;Madre de Deus;2128;;2128;AII;0;0;Metropolitano de Salvador;19224;174;19.224 (174° na BA);100;100,0% (76,6% na BA);4;0;4 (0,00% da pop.);731;4;731 (4,00% da pop.);4,4;4,40% (12,6% na BA);0,708;7;0,708 (7° na BA);54;0,54 (0,62% na BA);6597;34,3;6.597 (34,30% da pop.);710400000;mi;73;710,4 mi (73° na BA);38393,78;27;38.393,78 (27° na BA);85,6;0,6;13,8;3497;113;3.497 (113° na BA);-148;401;-148 (401° na BA);2582;1;2.582 (1°);355;3;355 (3°);358;2;358 (2°);0;5;0 (5°);202;4;202 (4°)
2920601;Maragogipe;6167;;6167;AII;27;0;Recôncavo;37041;73;37.041 (73° na BA);59,5;59,5% (76,6% na BA);5812;16,2;5.812 (16,20% da pop.);312;0,9;312 (0,90% da pop.);17,6;17,60% (12,6% na BA);0,621;84;0,621 (84° na BA);57;0,57 (0,62% na BA);22304;34,3;22.304 (34,30% da pop.);479200000;mi;116;479,2 mi (116° na BA);13363,78;269;13.363,78 (269° na BA);73,7;21,4;4,8;4193;93;4.193 (93° na BA);790;20;790 (20° na BA);2993;1;2.993 (1°);335;3;335 (3°);813;2;813 (2°);13;5;13 (5°);39;4;39 (4°)
2922201;Muniz Ferreira;263;;263;AID;0;0;Recôncavo;7453;383;7.453 (383° na BA);53,5;53,5% (76,6% na BA);0;0;0 (0% da pop.);1;0;1 (0,00% da pop.);17,4;17,40% (12,6% na BA);0,617;92;0,617 (92° na BA);51;0,51 (0,62% na BA);3351;45;3.351 (45,00% da pop.);86300000;mi;393;86,3 mi (393° na BA);12006,87;333;12.006,87 (333° na BA);81;12,3;6,6;795;364;795 (364° na BA);9;281;9 (281° na BA);661;1;661 (1°);53;2;53 (2°);30;3;30 (3°);30;4;30 (4°);21;5;21 (5°)
2922300;Muritiba;16;;16;AII;6;0;Recôncavo;30180;98;30.180 (98° na BA);66,7;66,7% (76,6% na BA);2006;7;2.006 (7,00% da pop.);540;1,9;540 (1,90% da pop.);11,8;11,80% (12,6% na BA);0,66;36;0,66 (36° na BA);55;0,55 (0,62% na BA);13751;45,6;13.751 (45,60% da pop.);376000000;mi;144;376 mi (144° na BA);13097,03;285;13.097,03 (285° na BA);84,8;5,2;10;3231;127;3.231 (127° na BA);-18;363;-18 (363° na BA);2091;1;2.091 (1°);662;2;662 (2°);106;4;106 (4°);306;3;306 (3°);66;5;66 (5°)
2922508;Nazaré;3904;;3904;AID;2;0;Recôncavo;28427;106;28.427 (106° na BA);80,6;80,6% (76,6% na BA);479;1,8;479 (1,80% da pop.);31;0,1;31 (0,10% da pop.);15,1;15,10% (12,6% na BA);0,641;48;0,641 (48° na BA);61;0,61 (0,62% na BA);11286;39,7;11.286 (39,70% da pop.);463700000;mi;118;463,7 mi (118° na BA);17136,76;152;17.136,76 (152° na BA);88;5;7;3334;123;3.334 (123° na BA);144;90;144 (90° na BA);2074;1;2.074 (1°);571;2;571 (2°);567;3;567 (3°);57;5;57 (5°);65;4;65 (4°)
2922607;Nilo Peçanha;1652;;1652;AII;3;0;Baixo Sul;12399;291;12.399 (291° na BA);45,1;45,1% (76,6% na BA);552;4,6;552 (4,60% da pop.);14;0,1;14 (0,10% da pop.);21,5;21,50% (12,6% na BA);0,547;375;0,547 (375° na BA);52;0,52 (0,62% na BA);7140;57,6;7.140 (57,60% da pop.);201000000;mi;247;201 mi (247° na BA);16664,87;169;16.664,87 (169° na BA);53,6;41,1;5,3;770;369;770 (369° na BA);22;233;22 (233° na BA);548;1;548 (1°);74;2;74 (2°);71;3;71 (3°);70;4;70 (4°);7;5;7 (5°)
