cod_ibge;municipio;ARTESANAL;INDUSTRIAL;Pescadores;area_influencia;comunidades_quilombolas;localidades_indigenas;territorio_identidade;populacao_valor;pop_rankBA;populacao;urbanizacao_perc;urbanizacao;quilombolas_valor;quilombolas_perc;quilombolas;indigenas_valor;indigenas_perc;indigenas;analfabetismo_perc;analfabetismo;IDH_2010_valor;IDH_2010_tankBA;IDH_2010;ind.gini_valor;indice_gini;beneficiados_PBF_valor;beneficiados_PBF_perc;beneficiados_PBF;PIB_valor;PIB_escala;PIB_rankBA;PIB;PIB_per_capita_valor;PIB_per_capita_rankBA;PIB_per_capita;VAB_com_serv_2021;VAB_agro_2021;VAB_ind_2021;estoque_emprego_formal_valor;estoque_emprego_formal_rankBA;estoque_emprego_formal;saldo_emp_formal_valor;saldo_emp_formal_rankBA;saldo_emp_formal;estoque_servicos_valor;estoque_servicos_rank;estoque_servicos;estoque_comercio_valor;estoque_comercio_rank;estoque_comercio;estoque_industria_valor;estoque_industria_rank;estoque_industria_2025;estoque_agro_valor;estoque_agro_rank;estoque_agro;estoque_const.civil_valor;estoque_const.civil_rank;estoque_const.civil
2924678;Piraí do Norte;3;;3;AII;0;0;Baixo Sul;11481;303;11.481 (303° na BA);39,9;39,9% (76,6% na BA);0;0;0 (0% da pop.);8;0,1;8 (0,10% da pop.);18,5;18,50% (12,6% na BA);0,533;403;0,533 (403° na BA);49;0,49 (0,62% na BA);4344;37,8;4.344 (37,80% da pop.);157000000;mi;297;157 mi (297° na BA);14306,6;238;14.306,60 (238° na BA);55,3;40,7;4;731;374;731 (374° na BA);31;202;31 (202° na BA);633;1;633 (1°);69;2;69 (2°);3;4;3 (4°);25;3;25 (3°);1;5;1 (5°)
2925758;Presidente Tancredo Neves;11;;11;AII;4;0;Baixo Sul;29489;103;29.489 (103° na BA);56,1;56,1% (76,6% na BA);457;1,6;457 (1,60% da pop.);75;0,3;75 (0,30% da pop.);19,6;19,60% (12,6% na BA);0,559;339;0,559 (339° na BA);55;0,55 (0,62% na BA);16262;55,1;16.262 (55,10% da pop.);417900000;mi;132;417,9 mi (132° na BA);15069,35;216;15.069,35 (216° na BA);66;28,2;5,8;2117;178;2.117 (178° na BA);120;109;120 (109° na BA);1319;1;1.319 (1°);543;2;543 (2°);158;3;158 (3°);58;4;58 (4°);39;5;39 (5°)
2927309;Salinas da Margarida;6653;;6653;AID;1;0;Recôncavo;15629;231;15.629 (231° na BA);96,8;96,8% (76,6% na BA);1930;12,9;1.930 (12,90% da pop.);58;0,4;58 (0,40% da pop.);8,7;8,70% (12,6% na BA);0,617;92;0,617 (92° na BA);54;0,54 (0,62% na BA);9575;61,3;9.575 (61,30% da pop.);250100000;mi;210;250,1 mi (210° na BA);16686,5;166;16.686,50 (166° na BA);58,5;36,6;4,9;1250;277;1.250 (277° na BA);41;179;41 (179° na BA);876;1;876 (1°);275;2;275 (2°);6;5;6 (5°);61;3;61 (3°);32;4;32 (4°)
2929107;São Felipe;7;;7;AII;0;0;Recôncavo;20923;157;20.923 (157° na BA);55,1;55,1% (76,6% na BA);0;0;0 (0% da pop.);170;0,8;170 (0,80% da pop.);16,5;16,50% (12,6% na BA);0,616;96;0,616 (96° na BA);50;0,5 (0,62% na BA);10975;52,5;10.975 (52,50% da pop.);282900000;mi;187;282,9 mi (187° na BA);13947,19;252;13.947,19 (252° na BA);70,5;24;5,5;1626;224;1.626 (224° na BA);112;113;112 (113° na BA);923;1;923 (1°);503;2;503 (2°);59;4;59 (4°);29;5;29 (5°);112;3;112 (3°)
2929008;São Félix;179;;179;AII;9;0;Recôncavo;11102;314;11.102 (314° na BA);64,5;64,5% (76,6% na BA);1395;13;1.395 (13% da pop.);213;1,9;213 (1,90% da pop.);12,8;12,80% (12,6% na BA);0,639;50;0,639 (50° na BA);48;0,48 (0,62% na BA);4762;42,9;4.762 (42,9% da pop.);198100000;mi;251;198,1 mi (251° na BA);17963,55;129;17.963,55 (129° na BA);68,8;23;8,1;1620;226;1.620 (226° na BA);59;150;59 (150° na BA);1432;1;1.432 (1°);105;2;105 (2°);47;3;47 (3°);22;4;22 (4°);14;5;14 (5°)
2929404;São Miguel das Matas;1;;1;AII;0;0;Vale do Jiquiriçá;10615;337;10.615 (337° na BA);39,3;39,3% (76,6% na BA);0;0;0 (0% da pop.);76;0,7;76 (0,7% da pop.);18,2;18,2% (12,6% na BA);0,593;181;0,593 (181° na BA);51;0,51 (0,62% na BA);4939;46,5;4.939 (46,5% da pop.);207600000;mi;242;207,6 mi (242° na BA);20085,93;97;20.085,93 (97° na BA);72,3;23,6;4,1;940;334;940 (334° na BA);40;181;40 (181° na BA);578;1;578 (1°);227;2;227 (2°);22;5;22 (5°);23;4;23 (4°);90;3;90 (3°)
2929503;São Sebastião do Passé;21;;21;AII;4;0;Metropolitano de Salvador;42944;55;42.944 (55° na BA);82,4;82,4% (76,6% na BA);790;1,9;790 (1,9% da pop.);197;0,5;197 (0,5% da pop.);10,9;10,9% (12,6% na BA);0,657;38;0,657 (38° na BA);53;0,53 (0,62% na BA);13474;31,4;13.474 (31,4% da pop.);957100000;mi;55;957,1 mi (55° na BA);23367,58;74;23.367,58 (74° na BA);60,8;3,5;35,7;6329;60;6.329 (60° na BA);28;213;28 (213° na BA);3558;1;3.558 (1°);823;3;823 (3°);1342;2;1.342 (2°);242;5;242 (5°);364;4;364 (4°)
2929602;Sapeaçu;4;;4;AID;0;0;Recôncavo;18656;180;18.656 (180° na BA);55,7;55,7% (76,6% na BA);0;0;0 (0% da pop.);18;0,1;18 (0,1% da pop.);13;13,0% (12,6% na BA);0,614;104;0,614 (104° na BA);58;0,58 (0,62% na BA);8598;46,1;8.598 (46,1% da pop.);343800000;mi;153;343,8 mi (153° na BA);19139,59;111;19.139,59 (111° na BA);77,5;12,5;10;2871;142;2.871 (142° na BA);273;51;273 (51° na BA);954;2;954 (2°);483;3;483 (3°);1088;1;1.088 (1°);291;4;291 (4°);55;5;55 (5°)
2929750;Saubara;4266;;4266;AII;0;0;Recôncavo;11859;298;11.859 (298° na BA);97,6;97,6% (76,6% na BA);4;0;4 (0,0% da pop.);0;0;0 (0% da pop.);11,2;11,2% (12,6% na BA);0,617;92;0,617 (92° na BA);49;0,49 (0,62% na BA);7027;59,3;7.027 (59,3% da pop.);179600000;mi;266;179,6 mi (266° na BA);15699,58;195;15.699,58 (195° na BA);72,4;19;8,5;1975;187;1.975 (187° na BA);78;132;78 (132° na BA);1843;1;1.843 (1°);101;2;101 (2°);18;3;18 (3°);1;5;1 (5°);12;4;12 (4°)
2931202;Taperoá;1728;;1728;AII;14;0;Baixo Sul;18556;184;18.556 (184° na BA);46,8;46,8% (76,6% na BA);2182;12,1;2.182 (12,1% da pop.);44;0,2;44 (0,2% da pop.);19,5;19,5% (12,6% na BA);0,566;312;0,566 (312° na BA);53;0,53 (0,62% na BA);9216;49,7;9.216 (49,7% da pop.);254700000;mi;207;254,7 mi (207° na BA);14114,51;246;14.114,51 (246° na BA);74,7;21,8;3,6;1415;248;1.415 (248° na BA);19;241;19 (241° na BA);972;1;972 (1°);272;2;272 (2°);74;3;74 (3°);73;4;73 (4°);24;5;24 (5°)
2931608;Teolândia;7;;7;AII;3;0;Baixo Sul;15978;223;15.978 (223° na BA);33,9;33,9% (76,6% na BA);791;5,2;791 (5,2% da pop.);11;0,1;11 (0,1% da pop.);22,7;22,7% (12,6% na BA);0,555;353;0,555 (353° na BA);48;0,48 (0,62% na BA);6915;43,3;6.915 (43,3% da pop.);279600000;mi;190;279,6 mi (190° na BA);18237,15;125;18.237,15 (125° na BA);50,3;45,2;4,4;1265;271;1.265 (271° na BA);32;196;32 (196° na BA);1055;1;1.055 (1°);147;2;147 (2°);2;5;2 (5°);26;4;26 (4°);35;3;35 (3°)
2933174;Varzedo;0;0;0;AID;0;0;Recôncavo;10328;343;10.328 (343° na BA);43,2;43,2% (76,6% na BA);5;0,1;5 (0,1% da pop.);63;0,6;63 (0,6% da pop.);19,4;19,4% (12,6% na BA);0,586;220;0,586 (220° na BA);52;0,52 (0,62% na BA);4594;44,5;4.594 (44,5% da pop.);172900000;mi;280;172,9 mi (280° na BA);17445,31;144;17.445,31 (144° na BA);50,5;30,8;18,7;1161;292;1.161 (292° na BA);8;285;8 (285° na BA);522;1;522 (1°);182;3;182 (3°);368;2;368 (2°);85;4;85 (4°);4;5;4 (5°)
2933208;Vera Cruz;6822;;6822;ADA;2;0;Metropolitano de Salvador;45191;52;45.191 (52° na BA);97,4;97,4% (76,6% na BA);172;0,4;172 (0,4% da pop.);825;1,9;825 (1,9% da pop.);8,1;8,1% (12,6% na BA);0,645;45;0,645 (45° na BA);57;0,57 (0,62% na BA);23670;52,4;23.670 (52,4% da pop.);709300000;mi;74;709,3 mi (74° na BA);16678,75;167;16.678,75 (167° na BA);82,3;5,9;11,8;6290;61;6.290 (61° na BA);39;182;39 (182° na BA);4331;1;4.331 (1°);1630;2;1.630 (2°);215;3;215 (3°);40;5;40 (5°);74;4;74 (4°)
2933505;Wenceslau Guimarães;5;;5;AII;10;0;Baixo Sul;25535;122;25.535 (122° na BA);47,8;47,8% (76,6% na BA);3697;15,1;3.697 (15,1% da pop.);149;0,6;149 (0,6% da pop.);24,9;24,9% (12,6% na BA);0,544;385;0,544 (385° na BA);45;0,45 (0,62% na BA);12708;49,8;12.708 (49,8% da pop.);424500000;mi;128;424,5 mi (128° na BA);17345,75;148;17.345,75 (148° na BA);48,1;47,8;4,1;1829;204;1.829 (204° na BA);22;233;22 (233° na BA);1513;1;1.513 (1°);183;2;183 (2°);37;4;37 (4°);84;3;84 (3°);12;5;12 (5°)
